           0  -0.582116   0.000  0.000  0.000  
         100  -1.534441   0.055  0.597  0.000  
         200  -1.520228   0.060  0.600  0.000  
         300  -1.516090   0.062  0.602  0.000  
         400  -1.511338   0.063  0.603  0.000  
         500  -1.509236   0.064  0.604  0.000  
         600  -1.512044   0.064  0.605  0.000  
         700  -1.505612   0.064  0.605  0.000  
         800  -1.509487   0.065  0.606  0.000  
         900  -1.514815   0.065  0.606  0.000  
        1000  -1.511793   0.065  0.606  0.000  
