           0  -0.614498   0.000  0.000  0.000  
         100  -1.536615   0.056  0.597  0.000  
         200  -1.517752   0.060  0.602  0.000  
         300  -1.511051   0.062  0.604  0.000  
         400  -1.511127   0.064  0.605  0.000  
         500  -1.499334   0.064  0.606  0.000  
         600  -1.503307   0.065  0.606  0.000  
         700  -1.505558   0.065  0.607  0.000  
         800  -1.499979   0.066  0.607  0.000  
         900  -1.497381   0.066  0.608  0.000  
        1000  -1.498386   0.066  0.608  0.000  
