           0  -0.643447   0.000  0.000  0.000  
         100  -1.523429   0.058  0.598  0.000  
         200  -1.506845   0.062  0.603  0.000  
         300  -1.509233   0.063  0.604  0.000  
         400  -1.502418   0.065  0.606  0.000  
         500  -1.498351   0.066  0.606  0.000  
         600  -1.492333   0.066  0.607  0.000  
         700  -1.499811   0.067  0.608  0.000  
         800  -1.495001   0.067  0.608  0.000  
         900  -1.499954   0.067  0.609  0.000  
        1000  -1.490533   0.068  0.609  0.000  
